ResonceID,wireless.network.dissatisfaction.factor,wireless.network.dissatisfaction.text,wireless.network.feedback,myslice.satisfied,myslice.dissatisfation.factor,myslice.dissatisfation.text,myslice.feedback,video.conferencing.use,zoom.satisfied,zoom.dissatisfaction.factor,zoom.dissatisfaction.text,teams.vid.satisfied,teams.vid.dissatisfaction.factor,teams.vid.dissatisfaction.text,balance.security.usability,security.min.impact.on.work,security.effective.communication,security.know.who.to.talk.to,security.yearly.training,security.feedback,teach.2021-22,teach.platforms,blackboard.satisfied,blackboard.dissatisfation.factor,blackboard.dissatisfation.text,kaltura.satisfied,kaltura.dissatisfation.factor,kaltura.dissatisfation.text,playposit.satisfied,playposit.dissatisfation.factor,playposit.dissatisfation.text,google.suite.satisfied,google.suite.dissatisfation.factor,google.suite.dissatisfation.text,teaching.tools.find.information,teaching.tools.help.support,teaching.tools.communication,teaching.tools.feedback,assistive.tech.use,assistive.tech.use.list,assistive.tech.use.text,syracuse.edu.navigation,syracuse.edu.organization,accessibility.feedback,accessibility.policy.knowlege,accessibility.doc.creation.impact,accessibility.aware.toolkit,accessibility.professional.development,accessibility.feedback,campus.resources.text,it.challenges.text.1,it.challenges.text.2,it.challenges.text.3
69,,,Far better than most other universities. Unfortunately most new users are not familiar with campus policy or how to onboard.,Somewhat agree,,,,Yes,Somewhat agree,,,Somewhat agree,,,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat disagree,Somewhat disagree,A lot of inconsistencies across campus units,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Way too overhyped,The campus network is very reliable. It is hard to communicate campus policy and where to go for help when help is needed. The JMA thing feels like a ridiculously expensive solution in search of a problem.,,,
70,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Somewhat agree,Agree,Agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Agree,Somewhat agree,Somewhat agree,Somewhat agree,,"Myslice, hard to find certain things sometime.  Answers is terrible to find things.",,,
71,,,,Strongly agree,,,,Yes,Strongly agree,,,Somewhat disagree,"Picture quality,Sound quality",,Strongly agree,Agree,Strongly agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Disagree,Strongly disagree,,Agree,Strongly agree,Agree,Agree,,,,,
72,,,,Strongly agree,,,,Yes,Strongly agree,,,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,library,none,,
73,,,,Disagree,"Ease of use,Platform features",,"There are many features controlled by multiple institutions such as HR or the registrar and not ITS, so ITS often replies that they can't help with an issue and you have to contact those other divisions and then the response time is very slow.",Yes,Strongly agree,,,Disagree,"Ease of use,Reliability",,Disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Disagree,The security settings on my Mac desktop significantly delay my work as I cannot run routine updates and processes on my own. Each time I need to do something I have to schedule an appointment with an ITS administrator to install the software update or setting change. It takes a ridiculous amount of time out of my work days.,Yes,"Blackboard,Kaltura,Google Suite",Somewhat agree,,,Somewhat agree,,,,,,Agree,,,Agree,Agree,Somewhat agree,International students accessing class and materials from some countries cannot access Google tools because of firewalls. ,No,,,,Somewhat agree,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Support staff should be available to assist faculty in keeping their course materials accessible.,,I lose a significant amount of computing time due to the campus network's incompatibility with Mac computers. Each time there is an update or change some aspect of the regular computing processes breaks and it takes forever for ITS to figure out the issue and repair it.,"Our computers are so ""locked down"" that I lose a significant amount of time from my work scheduling an ITS person to come and run routine updates and setting changes because I do not have permissions on my office computer.",
74,,,"It's pretty robust, especially in the Newhouse building complex ",Strongly disagree,"Ease of use,Platform reliability,Platform features",,The redesign of MySlice makes no sense because the icons are all over the place and not intuitive. The older version was easier to use. ,Yes,Strongly agree,,,Disagree,"Ease of use,Other","I find Zoom more reliable and you can see more people, etc. Plus, it's easier to use for people who are not in the SU system, e.g. speakers, experts, etc. ",Agree,Agree,Agree,Agree,Disagree,,Yes,"Blackboard,Kaltura,Google Suite",Agree,,,Agree,,,,,,Strongly agree,,,Agree,Agree,Strongly agree,,No,,,Disagree,Disagree,It's difficult to find information because it's fragmented and not easy to find ,Agree,Agree,Agree,Somewhat agree,,I am thankful for all the IT staff who work very hard with limited resources and personnel ,Some schools have better IT than others and it's not an equitable playing field ,We have a sever shortage of IT staff in my school/college and people are overworked and underpaid ,
75,,,,Agree,,,,Yes,Agree,,,,,,Agree,Agree,Agree,Strongly agree,Strongly disagree,,Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Agree,Somewhat agree,,No,,,Agree,Agree,,Somewhat disagree,Strongly agree,Disagree,Strongly disagree,,Our IT department at the law school is great.,"Remote desktop can be frustrating to use.  For instance, I can't print from it.  I do like it better than the old system though.",,
76,Ease of connection,,,Somewhat agree,,,,Yes,Strongly disagree,"Ease of use,Reliability,Picture quality,Sound quality,Information Technology Services support for using/troubleshooting",,Strongly disagree,"Ease of use,Picture quality,Sound quality",,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,,Yes,Blackboard,Somewhat disagree,"Ease of use,Platform features",,,,,,,,,,,Disagree,Disagree,Somewhat disagree,,No,,,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,,Not much,My office desktop is slow. Often it locks up and I wait minutes or more to be able to do anything.  Not sure how this happens with a networked computer,Zoom is also a major problem  I often struggle to get it to work and regularly crashes.  ,"Finally, the computer in my classroom is slow, won't run PowerPoint. It got bad enough I had to bring a laptop in order to run PowerPoint"
77,,,,Disagree,"Ease of use,Platform features",,,Yes,Agree,,,,,,Somewhat disagree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly disagree,,Yes,"Blackboard,Kaltura",Somewhat agree,,,Disagree,"Ease of use,Platform features",,,,,,,,Agree,Strongly agree,Agree,,No,,,Somewhat disagree,Somewhat disagree,,Somewhat agree,Somewhat disagree,Disagree,Disagree,,ICT in Maxwell is great,Not having admin access to my research computing. Obvious solution: give us at least limited ability to make updates to a wider range of programs.,"MySlice is terrible, even for a core function such as course rosters. There is not even a way to print a comprehensive roster with student pictures--something that most faculty would want to do at the beginning of the semester. If you use the back button while searching classes, it wipes out your search. I could list a dozen issues like this. I always hear that the problem is that the system was not intended for our academic purposes. If this is the case, an obvious (though expensive) solution would be to get a system that is meant for what we use it for.",Blackboard often restricts which items can be copied from one course to another. I end up re-creating bi-weekly quizzes every year one by one. How can this be?!?!
78,,,I would like to see support for wireless projection at some point but understand the challenges associated with it. ,Somewhat agree,,,It can be difficult to find things. I wish it content within Myslice could be bookmarked. Maybe it can and I just dont know how to do that!,Yes,Agree,,,Agree,,,Agree,Somewhat disagree,Agree,Strongly agree,Agree,"I did check that the campus network poses challenges to the way I operate but I also accept that I am likely unique in this area, and not the typical use case.",Yes,"Blackboard,Kaltura,PlayPosit,Google Suite",Somewhat disagree,"Platform features,Information Technology Services support for using/troubleshooting",,Somewhat agree,,,Agree,,,Agree,,,Somewhat agree,Somewhat agree,Agree,"I have had some unique challenges with playposit, kaltura and blackboard. I understand that my use cases are not the typical use cases.",No,,,Agree,Agree,None at this time. ,Agree,Agree,Somewhat agree,Agree,"We can and should all do more in this area, myself included!",For the most part all of them! ITS seems to be very accommodating to at times can be my unique needs. ,A better process around blackboard course merges. It seems like the merge is done incorrectly half the time. It makes things difficult for students. I don't feel the current form captures the use-cases well. ,I'd like to see us implement more of the known features in blackboard. My college uses instructors of record to manage the course content for consistency across teaching sections. This is difficult and time consuming with the current blackboard setup. It would be nice to create template courses and allow teaching faculty to provision the template course. The current process requires me to give the teacher access to the template and new instructors get confused and accidentally edit my templates.,
79,,,,Somewhat agree,,,,Yes,Agree,,,,,,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,,Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Strongly agree,Agree,,No,,,Somewhat agree,Somewhat disagree,,Disagree,Strongly disagree,Disagree,Agree,,,local support from college ITS - especially for people who use apple macs,,
80,,,network randomly drops out at times; phone will randomly connect to AirOrangeHelp over AirOrangeX and require me to manually reconnect the network,Somewhat agree,,,"the employee section is really disorganized, and I don't like that there is a hidden second page of resources",Yes,Agree,,,Agree,,,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat disagree,Somewhat disagree,"many hidden pages, and the search tool is not adequate",Disagree,,,,,SU Labs remote desktop,lacking programs needed to complete work - have to request and justify the programs being added to my computer,On campus wireless network is bad,Lack of knowledge in how to access specialty IT equipment
81,,,,Agree,,,,Yes,Strongly agree,,,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Strongly agree,,Agree,Strongly agree,Agree,Agree,,all,none,,
82,,,,Somewhat agree,,,"Many of the forms I needed to complete as a new faculty member were not available on MySlice, and it was annoying to request each one individually.",Yes,Strongly agree,,,,,,,Agree,,Somewhat agree,Disagree,,Yes,"Blackboard,Google Suite",Strongly disagree,"Ease of use,Platform features",,,,,,,,Agree,,,,,,,No,,,,,,Disagree,,,,,,I find Blackboard not very intuitive and difficult to use. ,,
83,,,,Somewhat agree,,,,Yes,Strongly agree,,,Somewhat agree,,,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,,Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Agree,,,No,,,Strongly agree,Agree,,Agree,Somewhat agree,Somewhat agree,,,,Audio systems in classrooms do not work well in general,,
84,,,,Agree,,,,Yes,Agree,,,Strongly agree,,,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Strongly agree,Agree,Agree,Strongly agree,,,,,
85,,,Slow to connect. Sometimes have to log in as guest.,Somewhat agree,,,Trouble opening it using Chrome. Often have to switch browser to use MySlice. I can get there but it can slow down my productivity.,Yes,Strongly agree,,,Somewhat disagree,"Ease of use,Picture quality",,Agree,Somewhat agree,Agree,Strongly agree,Somewhat disagree,,Yes,"Blackboard,Google Suite",Agree,,,,,,,,,Agree,,,Agree,Agree,Agree,,No,,,Somewhat agree,Somewhat disagree,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,"Blackboard, Zoom, Architecture IT staff are superb, but spread too thin","Slow log in process to MySlice; sometimes MySlice shows errors, causing me to log in again",,
86,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Strongly agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Somewhat agree,,Agree,Somewhat agree,Agree,Somewhat disagree,,,,,
87,,,,Agree,,,,Yes,Strongly agree,,,Agree,,,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,,Yes,Blackboard,Strongly agree,,,,,,,,,,,,Strongly agree,Strongly agree,Agree,,No,,,Strongly agree,Strongly agree,,Agree,Strongly agree,Disagree,,,,,,
88,,,The service is spotty around Newhouse and it kicks you off the network as you walk around campus. ,Strongly disagree,Ease of use,,,Yes,Strongly disagree,"Ease of use,Reliability",,Strongly disagree,Ease of use,,Strongly Disagree,Strongly Disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Yes,Blackboard,Strongly disagree,Ease of use,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,,Yes,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,
89,,,Can get congested and slow when too many people are accessing it. Range could better as well. ,Somewhat disagree,"Ease of use,Platform reliability,Platform features",,,Yes,Strongly agree,,,Somewhat agree,,,Agree,Disagree,Somewhat agree,Agree,Strongly agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Somewhat agree,,Agree,Agree,Strongly disagree,Agree,,,,,
90,,,Difficult to stay connected when not in my office. Makes working remotely around campus difficult,Agree,,,,Yes,Strongly agree,,,Somewhat agree,,,Agree,Disagree,,Disagree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Agree,,Somewhat disagree,Agree,Disagree,Agree,,,,,
91,,,,Agree,,,"would like more ""workshops"" or instruction on the nuances of using MySlice to its fullest efficiency",Yes,Agree,,,Agree,,,Agree,Agree,Somewhat agree,Agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,"some of the general information feels like I'm drilling deeply to find to assist visitors, staff or etc...",Disagree,Disagree,Disagree,Somewhat agree,We have difficulty getting our students proper document access on military related forms,"Lack of understanding on behalf of our department needs and communication for things like ITS updates, changes, training and news",Implementing the new reporting tools smoothly to continue with the work I do,Concerns for the changes in our shared drive use coming soon,
92,,,,Disagree,Platform features,,,Yes,Agree,,,Agree,,,Agree,Disagree,,Strongly disagree,,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Disagree,Somewhat disagree,Disagree,Agree,,,"We need direct access to ERP.  There is way to much ""paper"" forms floating around by email and then data entered in to ERP for process.  Decentralize for user effiencies.",,
93,"Ease of connection,Stability,Information Technology Services support for using/troubleshooting",,"In certain rooms on campus, AOX will not accept a connection and I have to resort to the guest network, which blocks me from using Airplay. This happens to other faculty members and even students. It's a huge problem that impacts my instruction.",Agree,,,,Yes,Strongly agree,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Disagree,"Having to enter numbers as part of two-factor authentication can be difficult in a situation, like the middle of class, where we need to swiftly access resources. Being able to approve a request is much easier.",Yes,"Blackboard,Kaltura,Google Suite",Somewhat agree,,,Agree,,,,,,Strongly agree,,,Somewhat disagree,Somewhat disagree,Disagree,Mid-semester changes have been made to teaching stations in certain classrooms without any kind of notice. This kind of alteration should be abstained from during the fall and spring semesters- save it for between semesters or during the summer.,No,,,Somewhat agree,Somewhat agree,,Agree,Agree,Somewhat agree,Disagree,,"Google Suite, Blackboard (though there are superior LMS available, not sure why we don't use those.)","Inconsistent connection to AirOrangeX. I began having problems during Fall 2021 and have never been able to resolve them. These issues extend to my colleagues and my students. AirOrangeGuest always works, however.",Inconsistent teaching stations in Newhouse classrooms. E.g. some have permanent HDMI to USB-C adaptors while others don't; some don't have Airplay; some have confidence monitors while others do not; etc. Every instructional space should have the same things available. I should be able to walk into any classroom and have everything I need available. ,
94,,,I often have trouble logging onto it.,Somewhat agree,,,I sometimes find that it is difficult to locate what I need in MySlice. I don't think the user interface is very intuitive.,Yes,Agree,,,,,,Disagree,Disagree,,Somewhat agree,Strongly disagree,I find it really frustrating to have to use my cell phone to confirm my identity to log into sites like Blackboard and my email. It seems like overkill.,Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Agree,Agree,I feel like the online teaching group has been pretty good about communicating resources. They have also been very prompt when I email with questions.,No,,,Agree,Agree,,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,,,We should not have to use our cell phones to log onto basic resources like Blackboard and email.,"I have had challenges with classroom technology not working. Repairs to essential classroom technology (e.g., projectors with dead light bulbs) should be prioritized and should never last more than one day.","I am generally pretty good with technology, but I have found online polling via TurningPoint to be really hard to use. I do not like that students have to pay for the software SU uses. I would like SU to offer free polling software to students and an easier to use platform for faculty."
95,"Ease of connection,Speed,Stability",,"I never use the wireless network while on campus unless absolutely necessary. In my experience, when WiFi is required, it's easier to connect as a guest than through the AirOrangeX network. ",Agree,,,"Myslice is pretty whack, but I've learned how to navigate and utilize the platform over the past 7 years. The switch to the ""new"" style did nothing but cause navigation issues and I have had to do a lot of digging to find and favorite pages that were previously easy to locate (student GPA calculator, student program/plan, student addresses, etc.). ",Yes,Strongly disagree,,,Strongly agree,,,Agree,Somewhat agree,Agree,Agree,Somewhat agree,"With security changes that took place when we changed from SURA to the RDS, I lost the ability to sign in and use all microsoft programs on my personal computer, which I should have access to based on my license (as confirmed by internal IT and university ITS teams). No one has been able to resolve this issue. ",Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Somewhat agree,Somewhat agree,,No,,,Disagree,Disagree,"Our website is horrendous and recent restructuring has made it even harder to locate information. Like most employees, I go to google and search for what I need with ""Syracuse University"" included in the search terms. This is the only way to navigate our website with any ""ease"". ",Agree,Strongly agree,Strongly agree,Somewhat agree,,,,,
